"Name","Device Time Total (ms)","CPU Time Total (ms)","Self Device Time Total (ms)","Self CPU Time Total (ms)","Calls","Input Shapes","Device Memory Usage (MB)","Self Device Memory Usage (MB)","CPU Memory Usage (MB)","Self CPU Memory Usage (MB)"
"ProfilerStep*","10226.443398000049","25612.431311000004","0","5973.601563999917","15","","0.2373046875","-445242.248046875","0","-0.0027618408203125"
"enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__","0","13.629213000006162","0","13.147483000006181","26","","0","0","0","0"
"aten::to","0.40534999999357385","13610.524844000041","0","0.9965630000429228","3205","","3.125","0","0","0"
"aten::_to_copy","0.40534999999357385","13609.528280999999","0","1.0697130000058095","50","","3.125","0","0","0"
"aten::empty_strided","0","22.784004000090118","0","21.13165100009","2985","","17630.92333984375","17630.92333984375","0","0"
"aten::copy_","879.463599999981","13717.834647999998","879.463599999981","6.277173000011127","458","","0","0","0","0"
"cudaMemcpyAsync","0","104.49862200000402","0","104.49862200000402","226","","0","0","0","0"
"cudaStreamSynchronize","0","17151.836067000004","0","17151.71333600001","211","","0","0","0","0"
"fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)","801.5874460000033","0","801.5874460000033","0","310","","0","0","0","0"
"cudaPointerGetAttributes","0.20665699999779463","0.30985399999158836","0.20665699999779463","0.30637399999207265","66","","-191","-191","0","0"
"Memset (Device)","3.4885320000122317","0","3.4885320000122317","0","2614","","0","0","0","0"
"ampere_sgemm_128x64_nn","272.5495519999971","0","272.5495519999971","0","310","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)","1165.5363970000853","0","1165.5363970000853","0","1714","","0","0","0","0"
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)","76.15219399999506","0","76.15219399999506","0","645","","0","0","0","0"
"void cutlass::Kernel<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(cutlass_80_simt_sgemm_256x128_8x4_nn_align1::Params)","2715.587525999984","0","2715.587525999984","0","635","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)","1429.8434910000303","0","1429.8434910000303","0","1714","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#2}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#2}, at::detail::Array<char*, 2>)","267.5891450000032","0","267.5891450000032","0","310","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::tanh_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::tanh_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)","267.68473100000676","0","267.68473100000676","0","310","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)","267.3212340000393","0","267.3212340000393","0","326","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3>)","1178.7639830000057","0","1178.7639830000057","0","1078","","0","0","0","0"
"void cutlass::Kernel<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(cutlass_80_simt_sgemm_128x64_8x5_nn_align1::Params)","1057.734360000009","0","1057.734360000009","0","310","","0","0","0","0"
"ampere_sgemm_128x128_tn","2427.888229999998","0","2427.888229999998","0","26","","0","0","0","0"
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})","606.1610619999815","0","606.1610619999815","0","234","","0","0","0","0"
