"Name","Device Time Total (ms)","CPU Time Total (ms)","Self Device Time Total (ms)","Self CPU Time Total (ms)","Calls","Input Shapes","Device Memory Usage (MB)","Self Device Memory Usage (MB)","CPU Memory Usage (MB)","Self CPU Memory Usage (MB)"
"ProfilerStep*","5607.553142000016","20090.089912","0","5669.779443999998","15","","-195359.3720703125","-261505.42529296875","0","-0.00000762939453125"
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)","1390.9365689998865","0","1390.9365689998865","0","3400","","0","0","0","0"
"enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__","0","11.60000699999751","0","10.823126999997388","26","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#2}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#2}, at::detail::Array<char*, 2>)","263.58074700002777","0","263.58074700002777","0","616","","0","0","0","0"
"aten::to","0.5952050000093877","8320.358512000043","0","1.339981000038446","3460","","64.76171875","60.06689453125","0","0"
"aten::_to_copy","0.5952050000093877","8319.018531000003","0","1.8477229999848641","115","","4.69482421875","0","0","0"
"aten::empty_strided","0","24.36656400002623","0","23.334411000027227","2920","","14335.447265625","14335.447265625","0","0"
"aten::copy_","4016.014821999977","8515.448252000013","4016.014821999977","53.36013299992704","1983","","-6836.830078125","-1783.83984375","0.0000152587890625","0.0000152587890625"
"cudaMemcpyAsync","0","132.57375200001465","0","132.57375200001465","406","","-2021.5185546875","-2021.5185546875","0","0"
"cudaStreamSynchronize","0","11337.439492000005","0","11337.294741","211","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)","1099.0852510000068","0","1099.0852510000068","0","3414","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::tanh_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::tanh_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)","265.66468900000933","0","265.66468900000933","0","616","","0","0","0","0"
"cudaPointerGetAttributes","0","0.4019790000046546","0","0.3654440000038071","66","","-13.4912109375","-13.4912109375","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)","265.7831220000095","0","265.7831220000095","0","632","","0","0","0","0"
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3>)","1154.2397540000054","0","1154.2397540000054","0","2152","","0","0","0","0"
"Memset (Device)","6.895740999995981","0","6.895740999995981","0","5224","","0","0","0","0"
"ampere_sgemm_128x128_nn","907.341071000015","0","907.341071000015","0","616","","0","0","0","0"
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)","49.742197999973925","0","49.742197999973925","0","1280","","0","0","0","0"
"void cutlass::Kernel<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(cutlass_80_simt_sgemm_128x64_8x5_nn_align1::Params)","685.2232699999894","0","685.2232699999894","0","614","","0","0","0","0"
"fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)","717.6132979999811","0","717.6132979999811","0","614","","0","0","0","0"
"ampere_sgemm_128x64_nn","242.72672500001912","0","242.72672500001912","0","614","","0","0","0","0"
"void cutlass::Kernel<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(cutlass_80_simt_sgemm_256x128_8x4_nn_align1::Params)","1578.3994819999969","0","1578.3994819999969","0","646","","0","0","0","0"
"ampere_sgemm_128x128_tn","1537.0007820000094","0","1537.0007820000094","0","52","","0","0","0","0"
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})","1819.3066769999666","0","1819.3066769999666","0","1716","","0","0","0","0"
