"Name","Device Time Total (ms)","CPU Time Total (ms)","Self Device Time Total (ms)","Self CPU Time Total (ms)","Calls","Input Shapes","Device Memory Usage (MB)","Self Device Memory Usage (MB)","CPU Memory Usage (MB)","Self CPU Memory Usage (MB)"
"ProfilerStep*","9704.538624999594","31504.836085000006","0","16558.60627400011","10","","0","-373161.669921875","0.000003814697265625","-0.002330780029296875"
"enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__","0","12.74396700000168","0","12.26971800000161","21","","0","0","0","0"
"aten::to","222.5043189999267","174.7825610000375","0","12.67207000014585","11160","","7155.4296875","0","0.00026702880859375","0"
"aten::_to_copy","222.5043189999267","162.11049099989165","0","27.481294999994947","3090","","7155.4296875","0","0.00026702880859375","0"
"aten::empty_strided","0","65.64898699979489","0","57.39896899984263","3550","","13905.4345703125","13905.4345703125","0.00026702880859375","0.00026702880859375"
"aten::copy_","1907.214889999811","9791.46185800008","1907.214889999811","199.17387800017428","9348","","0","0","0","0"
"cudaMemcpyAsync","0","771.6092349999224","0","771.4921389999253","6181","","0","0","0","0"
"ProfilerStep*","34480.44915699999","0","34480.44915699999","0","30","","0","0","0","0"
"Memcpy HtoD (Pinned -> Device)","206.2859390000232","0","206.2859390000232","0","1520","","0","0","0","0"
"cudaStreamSynchronize","0","11735.318558999938","0","11734.687767999934","1741","","0","0","0","0"
"cudaDeviceSynchronize","0","23.179379999923228","0","23.179379999923228","1527","","0","0","0","0"
"cudaEventRecord","0","30.814191000019115","0","30.811958000019107","14670","","0","0","0","0"
"cudaStreamWaitEvent","0","20.304908999986452","0","20.304908999986452","9160","","0","0","0","0"
"aten::empty","0","74.79827700000672","0","67.88470999998458","6896","","110107.5986328125","110107.5986328125","0.00209808349609375","0.00209808349609375"
"aten::narrow","0","127.4927139998992","0","43.073846999735224","11660","","0","0","0","0"
"aten::slice","0","118.64954600023935","0","99.15746299989048","17660","","0","0","0","0"
"aten::as_strided","0","27.412927000413394","0","27.412927000413394","23820","","0","0","0","0"
"cudaPointerGetAttributes","0","0.35309999999502906","0","0.352471999995003","56","","0","0","0","0"
"aten::cat","185.58785399997095","34.61012500002973","185.58785399997095","21.10259399995386","670","","18137.001953125","18134.751953125","0.00003814697265625","0.00003814697265625"
"cudaLaunchKernel","0","328.36386200016034","0","327.62123000015","18860","","0","0","0","0"
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 1, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)","111.87636699995898","0","111.87636699995898","0","560","","0","0","0","0"
"c10d::_allgather_base_","504.219375999916","133.80437999994322","0","22.27742799984401","1010","","0","0","0","0"
"record_param_comms","1179.1728189999135","114.9364630000893","1179.1728189999135","81.163515000176","1090","","0","0","0","0"
"cudaStreamIsCapturing","0","3.575406000008342","0","3.575406000008342","2150","","0","0","0","0"
"nccl:_all_gather_base","0","80.38475799996918","0","0","1010","","0","0","0","0"
"cudaStreamGetCaptureInfo_v2","0","1.37901200009311","0","1.37901200009311","1030","","0","0","0","0"
"cudaLaunchKernelExC","0","14.467673000055715","0","14.462741000055685","1030","","0","0","0","0"
"ncclDevKernel_AllGather_RING_LL(ncclDevComm*, unsigned long, ncclWork*)","504.219375999916","0","504.219375999916","0","1010","","0","0","0","0"
"nccl:_all_gather_base","504.219375999916","0","504.219375999916","0","1010","","0","0","0","0"
